"Countries","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202797202797203,NA,NA,NA,NA,NA,NA,NA,0.0213592233009709,0.0868429142330157,0.0592334494773519,NA,0.0601589103291714,0.0467445742904841,0.0616570327552987,0.0561224489795918,0.180327868852459,0.166666666666667,0.0771767810026385,0.0280031405391259,0.067550894509562,0.0363912941727124,0.0623781676413255,0,NA,0,0.0180952380952381,0.100313479623824,0,NA,NA
"Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0540540540540541,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.00234192037470726,NA,0,NA,0.00459770114942529,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.333333333333333,0,0,0,0,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0185185185185185,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0668604651162791,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160714285714286,0.174917491749175,0.0295670538542767,0.0202095808383234,0.0234375,0.0227272727272727,0.0154798761609907,0.03515625,0.0213270142180095,0.0136986301369863,0.0204460966542751,0.0208596713021492,0.0119402985074627,0.0655737704918033,0.016260162601626,0.00845070422535211,0,0.0303030303030303,0.0147058823529412,0,NA,0.303030303030303,NA,NA,0.0222513089005236,0.0368421052631579,0.0189419412687738,0,0.00800753650494583,0,0.0273972602739726,0,0,0.00109383995394358,0.00143575017946877,0.00470834423227832,0.00344897545141002,0.00228534116878877,0.00242718446601942,0.00186915887850467,0,0,0,0,0,NA,NA
"Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243266724587315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075422138836773,0.275667779632721,0,0.146118721461187,0.161538461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226183844011142,0.22293163075286,0.0788100208768267,0.238636363636364,NA,NA,NA,NA,NA,NA,NA,0.105431309904153,0.132972217368513,0.5,NA,0.5,0.0270557029177719,0.134328358208955,0.111111111111111,0.081786941580756,0.0722085241282142,0.0645161290322581,0,NA,0.0326797385620915,NA,NA,0.0427927927927928,0.0867579908675799,0.0869565217391304,NA,NA,NA
"Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.252995143011333,0.235294117647059,0.132231404958678,0.262237762237762,NA,NA,NA,NA,NA,NA,0,NA,NA,0.0813093980992608,NA,NA,NA,NA,0.132530120481928,NA,0.113341568869673,NA,NA,0.113387978142077,0.0568181818181818,0.0520596411422795,0.0501930501930502,NA,0.0716694772344014,0.168888888888889,0.0123456790123457,0.0508474576271186,0.0376712328767123,0.0261707988980716,0.0994575045207957,0.0657467532467532,0.0833333333333333,0.0720164609053498,NA,0.0571923743500867,0.0258175559380379,0.0208175624526874,0.0222222222222222,0.0388538125303545,0.0784313725490196,0.157894736842105
"Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,0.128428764554533,0.070432868672047,0.171974522292994,NA,0.0263157894736842,0.223214285714286,0.0265957446808511,0.101522842639594,0.0136518771331058,0.181159420289855,0.168224299065421,0.0725806451612903,0.0112359550561798,0.110977804439112,0,0.252747252747253,0.086046511627907,0.072992700729927,0.0565862708719852,NA,0.12868623692794,0.0789685737308622,0.0639423076923077,0.109478838754809,0.0821529745042493,0.0964118312590916,0.101361573373676,0.0539838337182448,0.0791031185977692,0.0153626295105395,0.0514705882352941,0.0283661816172407,0.0450077599586136,0.0580665411173886,0.0388653115925843,0.0626232741617357,0.028898254063817,0.0456561922365989,0.0314805346578044,0.0385099874032752,0.031740599734782,0.0301507537688442,0.0346969696969697,0.0209745527280809,0.0351606805293006,0.0416666666666667
"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0869565217391304,0.0143129770992366,0,0.25,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,0,NA,NA
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0526315789473684,NA,0,NA,NA,0.527472527472527,0,0,0.0333333333333333,0,0,0,NA,NA,NA,NA,0.0405405405405405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
